player_id,player_name,round,predicted_points,actual_points
148,F.Kadıoğlu,2,1.733,0
365,Nmecha,2,1.7100000000000002,1
162,Gruda,2,1.6949999999999998,1
605,Kilman,2,1.685,0
444,Yoro,2,1.6829999999999998,6
424,Bobb,2,1.6800000000000002,2
478,Trippier,2,1.675,1
573,Spence,2,1.675,6
421,Rodrigo,2,1.6670000000000005,1
636,S.Bueno,2,1.666,1
497,L.Miley,2,1.6650000000000005,1
53,Malen,2,1.652,1
146,Dunk,2,1.6469999999999998,1
455,Mount,2,1.636,3
318,Bassey,2,1.6330000000000002,2
169,Gomez,2,1.618,1
207,Hannibal,2,1.587,5
661,Ekitiké,2,1.584,9
304,Iroegbunam,2,1.582,2
676,Ugochukwu,2,1.5699999999999998,3
367,Mamardashvili,2,1.547,0
81,Kluivert,2,1.545,1
6,Saliba,2,1.53,6
506,Murillo,2,1.529,1
709,Krejčí,2,1.525,0
525,Wood,2,1.52,2
347,Gudmundsson,2,1.514,-1
431,Bayindir,2,1.506,2
41,Pau,2,1.504,2
487,Barnes,2,1.4860000000000002,2
419,Grealish,2,1.479,11
272,Lerma,2,1.457,1
415,Savinho,2,1.424,0
662,Mosquera,2,1.417,1
417,Cherki,2,1.416,1
139,Verbruggen,2,1.3969999999999998,1
730,Brobbey,2,1.396,0
338,Muniz,2,1.3930000000000002,0
123,Carvalho,2,1.393,0
521,Sangaré,2,1.389,2
442,Maguire,2,1.388,1
126,Jensen,2,1.388,1
167,Baleba,2,1.382,1
110,Kayode,2,1.3769999999999998,10
22,Merino,2,1.376,0
671,Wilson,2,1.3649999999999998,1
685,Diakité,2,1.336,10
544,Diarra,2,1.329,2
326,Adama,2,1.3239999999999998,0
505,Milenković,2,1.322,2
77,Hill,2,1.318,1
335,King,2,1.317,2
677,Guessand,2,1.3,1
635,R.Gomes,2,1.278,0
580,Johnson,2,1.268,9
44,Bogarde,2,1.261,0
541,Reinildo,2,1.254,3
441,Dorgu,2,1.253,2
631,Agbadou,2,1.2380000000000002,4
270,Hughes,2,1.236,1
187,Walker,2,1.229,6
331,Cairney,2,1.222,0
637,Toti,2,1.2040000000000002,-2
574,Udogie,2,1.2009999999999998,0
720,Tolu,2,1.197,0
693,Hutchinson,2,1.1869999999999998,1
543,Adingra,2,1.1860000000000002,1
625,Füllkrug,2,1.182,1
385,Chiesa,2,1.182,1
561,Mayenda,2,1.172,2
190,Ekdal,2,1.169,9
642,Hee Chan,2,1.129,1
19,Martinelli,2,1.12,0
712,Yeremy,2,1.113,0
459,Ugarte,2,1.0990000000000002,1
551,Rigg,2,1.089,0
621,Irving,2,1.08,0
606,Mavropanos,2,1.077,0
614,Ward-Prowse,2,1.0639999999999998,2
644,Bellegarde,2,1.06,1
371,Kerkez,2,1.058,1
486,Elanga,2,1.0539999999999998,2
319,Castagne,2,1.0530000000000002,2
440,Dalot,2,1.052,1
516,Hudson-Odoi,2,1.049,10
731,Kevin,2,1.045,0
180,Tzimas,2,1.044,0
499,Isak,2,1.037,0
292,Mykolenko,2,1.031,0
145,De Cuyper,2,1.024,0
353,James,2,1.023,2
724,Geertruida,2,1.019,0
659,Walker-Peters,2,1.014,1
352,Harrison,2,1.011,0
388,C.Jones,2,1.008,2
310,Barry,2,1.0059999999999998,2
500,Osula,2,1.0059999999999998,5
325,Smith Rowe,2,1.0,6
458,Mainoo,2,0.997,0
116,Hickey,2,0.997,1
358,Tanaka,2,0.997,1
526,Igor Jesus,2,0.996,1
239,Gittens,2,0.996,1
125,Janelt,2,0.996,0
246,Andrey Santos,2,0.992,1
610,Wan-Bissaka,2,0.991,0
202,Bruun Larsen,2,0.989,3
252,Marc Guiu,2,0.986,1
170,Milner,2,0.982,0
697,Adli,2,0.979,1
522,Yates,2,0.976,1
109,Henry,2,0.972,1
508,N.Williams,2,0.971,2
301,Alcaraz,2,0.964,1
366,A.Becker,2,0.963,1
713,A.Jimenez,2,0.962,0
17,Ødegaard,2,0.961,1
88,Cook,2,0.96,0
128,Onyeka,2,0.958,1
570,Danso,2,0.952,1
55,Barkley,2,0.951,0
409,Stones,2,0.944,1
726,Kolo Muani,2,0.944,0
733,Lammens,2,0.929,0
10,Lewis-Skelly,2,0.9280000000000002,1
623,Potts,2,0.921,1
413,Marmoush,2,0.909,1
276,Devenny,2,0.904,2
198,Tuanzebe,2,0.903,0
613,Souček,2,0.898,2
284,Nketiah,2,0.897,0
405,Aké,2,0.889,1
232,Tosin,2,0.882,2
391,Gannon-Doak,2,0.8779999999999999,0
716,Savona,2,0.8649999999999999,0
25,Nwaneri,2,0.8640000000000001,1
645,Fer López,2,0.8629999999999999,0
718,S.Magassa,2,0.8619999999999999,0
665,Perri,2,0.857,0
735,Traoré,2,0.845,0
406,Khusanov,2,0.844,0
734,Bakwa,2,0.8380000000000001,0
362,Piroe,2,0.834,1
356,Gruev,2,0.821,2
456,Sancho,2,0.8100000000000002,0
494,Willock,2,0.808,0
372,Robertson,2,0.8029999999999999,0
680,Broja,2,0.8020000000000002,0
18,Madueke,2,0.7950000000000002,3
341,Darlow,2,0.7889999999999999,0
696,Kalimuendo,2,0.783,1
727,Chukwueze,2,0.7620000000000001,0
235,Palmer,2,0.76,0
351,Gnonto,2,0.7540000000000001,2
181,Kostoulas,2,0.7540000000000001,0
230,Fofana,2,0.738,1
182,Trafford,2,0.7350000000000001,2
466,Zirkzee,2,0.735,0
410,Lewis,2,0.7070000000000001,1
634,Mosquera,2,0.7030000000000001,0
375,Bradley,2,0.6990000000000001,0
682,Møller Wolfe,2,0.6910000000000001,1
638,Hoever,2,0.6859999999999999,1
370,Frimpong,2,0.675,0
39,Maatsen,2,0.668,1
107,Lewis-Potter,2,0.648,6
376,Gomez,2,0.648,0
728,Röhl,2,0.5820000000000001,0
511,Morato,2,0.571,0
52,J.Ramsey,2,0.562,1
199,Worrall,2,0.5569999999999999,1
527,Awoniyi,2,0.554,0
686,Ngumoha,2,0.54,6
321,J.Cuenca,2,0.5389999999999999,0
149,Igor,2,0.524,0
389,Elliott,2,0.51,1
507,Aina,2,0.504,1
24,Nørgaard,2,0.4869999999999999,0
244,Lavia,2,0.475,0
732,Uche,2,0.466,0
163,Hinshelwood,2,0.4559999999999999,1
699,Douglas Luiz,2,0.446,0
438,Mazraoui,2,0.439,0
426,McAtee,2,0.4130000000000001,1
73,Smith,2,0.413,6
392,Endo,2,0.383,1
344,Bijol,2,0.366,0
719,Lindelöf,2,0.358,0
707,Dibling,2,0.3299999999999999,0
473,Hall,2,0.2659999999999999,1
609,Todibo,2,0.253,0
619,L.Guilherme,2,0.249,0
250,Delap,2,0.212,2
706,Justin,2,0.2,0
618,G.Rodriguez,2,0.195,0
725,Hincapie,2,0.185,0
316,Robinson,2,0.18,1
320,Diop,2,0.177,0
678,Masuaku,2,0.164,0
27,Nelson,2,0.1629999999999999,0
300,McNeil,2,0.15,1
144,Coppola,2,0.143,0
591,Gray,2,0.143,0
243,George,2,0.141,0
672,Hato,2,0.12,0
519,Dominguez,2,0.11,0
679,Hermansen,2,0.106,0
98,Enes Ünal,2,0.098,0
480,Lascelles,2,0.085,0
628,José Sá,2,0.046,3
542,Seelt,2,0.027,1
218,Barnes,2,0.023,0
723,Canvot,2,0.02,0
549,Neil,2,0.0099999999999999,0
12,Zinchenko,2,0.009,0
221,Jörgensen,2,0.008,0
168,Buonanotte,2,0.0079999999999999,0
80,Soler,2,0.006,0
422,Kovačić,2,0.004,0
206,Edwards,2,0.003,0
608,Scarles,2,0.003,0
152,Veltman,2,0.003,0
536,Hjelde,2,0.0,0
535,Cirkin,2,0.0,0
715,John,2,0.0,0
729,Cuiabano,2,0.0,0
534,Anderson,2,0.0,0
504,Turner,2,0.0,0
509,David Carmo,2,0.0,0
533,Alese,2,0.0,0
510,Jair Cunha,2,0.0,0
512,O.Richards,2,0.0,0
513,Abbott,2,0.0,0
530,Nna Noukeu,2,0.0,0
528,Patterson,2,0.0,0
675,Gunn,2,0.0,0
130,Donovan,2,0.0,0
127,Nunes,2,0.0,0
122,Milambo,2,0.0,0
118,Meghoma,2,0.0,0
538,Johnson,2,0.0,0
117,Ji-soo,2,0.0,0
150,Lamptey,2,0.0,0
539,O'Nien,2,0.0,0
540,Pembele,2,0.0,0
514,Boly,2,0.0,0
147,Estupiñan,2,0.0,0
520,O'Brien,2,0.0,0
523,Da Silva Moreira,2,0.0,0
524,Stamenic,2,0.0,0
70,Paulsen,2,0.0,0
537,Huggins,2,0.0,0
479,Krafth,2,0.0,0
481,A.Murphy,2,0.0,0
482,Ashby,2,0.0,0
483,Pivas,2,0.0,0
484,Targett,2,0.0,0
463,Kone,2,0.0,0
464,Moorhouse,2,0.0,0
465,Højlund,2,0.0,0
467,Obi,2,0.0,0
529,Moore,2,0.0,0
95,Silcott-Duberry,2,0.0,0
96,Winterburn,2,0.0,0
99,Adu-Adjei,2,0.0,0
687,Rees-Dottin,2,0.0,0
76,Bevan,2,0.0,0
78,J.Araujo,2,0.0,0
79,Mepham,2,0.0,0
710,Patterson,2,0.0,0
183,Weiss,2,0.0,0
184,Green,2,0.0,0
468,Wheatley,2,0.0,0
518,Jota,2,0.0,0
492,Antoñito C.,2,0.0,0
280,Ozoh,2,0.0,0
281,Rodney,2,0.0,0
282,Umeh,2,0.0,0
743,Emenalo,2,0.0,0
254,Benitez,2,0.0,0
255,Matthews,2,0.0,0
259,Sosa,2,0.0,0
503,C.Miguel,2,0.0,0
263,Clyne,2,0.0,0
264,Holding,2,0.0,0
265,Kporha,2,0.0,0
240,Nkunku,2,0.0,0
495,Hayden,2,0.0,0
496,Kuol,2,0.0,0
498,White,2,0.0,0
501,Neave,2,0.0,0
674,Ramsdale,2,0.0,0
689,Seung soo,2,0.0,0
262,Chadi Riad,2,0.0,0
307,Ebere,2,0.0,0
308,Heath,2,0.0,0
309,Metcalfe,2,0.0,0
3,Hein,2,0.0,0
31,G.Jesus,2,0.0,0
747,Mayers,2,0.0,0
752,Golambeckis,2,0.0,0
9,Kiwior,2,0.0,0
11,White,2,0.0,0
34,Gauci,2,0.0,0
601,Foderingham,2,0.0,0
602,Hegyi,2,0.0,0
604,Emerson,2,0.0,0
607,N.Aguerd,2,0.0,2
