player_id,player_name,round,predicted_points
343,Struijk,12,1.746
287,Pickford,12,1.7420000000000002
444,Yoro,12,1.734
81,Kluivert,12,1.718
6,Saliba,12,1.7120000000000002
424,Bobb,12,1.6960000000000002
547,E.Le Fée,12,1.6800000000000002
414,Foden,12,1.675
584,Tel,12,1.675
455,Mount,12,1.6599999999999997
148,F.Kadıoğlu,12,1.659
505,Milenković,12,1.6439999999999997
158,Georginio,12,1.6439999999999997
582,Kudus,12,1.6420000000000001
101,Kelleher,12,1.634
521,Sangaré,12,1.616
633,H.Bueno,12,1.611
478,Trippier,12,1.6030000000000002
636,S.Bueno,12,1.6030000000000002
169,Gomez,12,1.6
573,Spence,12,1.592
600,Areola,12,1.57
270,Hughes,12,1.562
588,Odobert,12,1.551
671,Wilson,12,1.546
48,Tielemans,12,1.532
541,Reinildo,12,1.5080000000000002
335,King,12,1.5070000000000001
209,Laurent,12,1.503
139,Verbruggen,12,1.4840000000000002
709,Krejčí,12,1.4739999999999998
663,J.Arias,12,1.4620000000000002
332,Lukić,12,1.462
365,Nmecha,12,1.4460000000000002
497,L.Miley,12,1.4460000000000002
691,Calvert-Lewin,12,1.44375
22,Merino,12,1.433
441,Dorgu,12,1.421
187,Walker,12,1.415
733,Lammens,12,1.408
613,Souček,12,1.4
431,Bayindir,12,1.399
605,Kilman,12,1.379
272,Lerma,12,1.3770000000000002
215,Flemming,12,1.344
123,Carvalho,12,1.338
693,Hutchinson,12,1.3190000000000002
311,Beto,12,1.313
662,Mosquera,12,1.2899999999999998
474,Schär,12,1.277
53,Malen,12,1.2730000000000001
77,Hill,12,1.268
304,Iroegbunam,12,1.2630000000000001
486,Elanga,12,1.258
331,Cairney,12,1.2479999999999998
371,Kerkez,12,1.2429999999999999
659,Walker-Peters,12,1.2409999999999999
388,C.Jones,12,1.23
642,Hee Chan,12,1.203
415,Savinho,12,1.202
621,Irving,12,1.196
338,Muniz,12,1.184
677,Guessand,12,1.146
724,Geertruida,12,1.1199999999999999
695,Tchatchoua,12,1.116
107,Lewis-Potter,12,1.116
720,Tolu,12,1.116
202,Bruun Larsen,12,1.1059999999999999
326,Adama,12,1.093
301,Alcaraz,12,1.093
731,Kevin,12,1.092
506,Murillo,12,1.0850000000000002
561,Mayenda,12,1.078
116,Hickey,12,1.074
233,Acheampong,12,1.064
44,Bogarde,12,1.0639999999999998
319,Castagne,12,1.0619999999999998
180,Tzimas,12,1.0610000000000002
325,Smith Rowe,12,1.055
358,Tanaka,12,1.05
232,Tosin,12,1.048
292,Mykolenko,12,1.034
574,Udogie,12,1.0310000000000001
310,Barry,12,1.027
353,James,12,1.0260000000000002
508,N.Williams,12,1.023
610,Wan-Bissaka,12,1.021
712,Yeremy,12,1.015
644,Bellegarde,12,1.013
352,Harrison,12,1.005
276,Devenny,12,1.004
239,Gittens,12,0.999
87,Christie,12,0.999
526,Igor Jesus,12,0.9960000000000001
522,Yates,12,0.991
458,Mainoo,12,0.99
385,Chiesa,12,0.99
405,Aké,12,0.99
697,Adli,12,0.9870000000000001
125,Janelt,12,0.986
730,Brobbey,12,0.986
356,Gruev,12,0.9810000000000001
126,Jensen,12,0.9800000000000001
665,Perri,12,0.976
167,Baleba,12,0.97
459,Ugarte,12,0.969
718,S.Magassa,12,0.968
570,Danso,12,0.9670000000000002
413,Marmoush,12,0.967
637,Toti,12,0.9559999999999998
88,Cook,12,0.954
417,Cherki,12,0.952
551,Rigg,12,0.951
682,Møller Wolfe,12,0.95
252,Marc Guiu,12,0.9399999999999998
696,Kalimuendo,12,0.9349999999999999
409,Stones,12,0.932
375,Bradley,12,0.9179999999999999
52,J.Ramsey,12,0.9120000000000001
726,Kolo Muani,12,0.9040000000000001
246,Andrey Santos,12,0.9019999999999999
25,Nwaneri,12,0.897
638,Hoever,12,0.8949999999999999
128,Onyeka,12,0.882
623,Potts,12,0.8780000000000001
55,Barkley,12,0.8779999999999999
230,Fofana,12,0.873
438,Mazraoui,12,0.865
735,Traoré,12,0.8640000000000001
10,Lewis-Skelly,12,0.8639999999999999
362,Piroe,12,0.852
372,Robertson,12,0.8320000000000001
645,Fer López,12,0.8280000000000001
716,Savona,12,0.8239999999999998
199,Worrall,12,0.8220000000000001
389,Elliott,12,0.8140000000000001
410,Lewis,12,0.8099999999999999
543,Adingra,12,0.8019999999999999
145,De Cuyper,12,0.8009999999999999
494,Willock,12,0.8009999999999999
456,Sancho,12,0.795
39,Maatsen,12,0.781
181,Kostoulas,12,0.78
198,Tuanzebe,12,0.7779999999999999
392,Endo,12,0.767
466,Zirkzee,12,0.765
686,Ngumoha,12,0.737
473,Hall,12,0.723
485,Gordon,12,0.6815
109,Henry,12,0.675
713,A.Jimenez,12,0.6549999999999999
680,Broja,12,0.643
367,Mamardashvili,12,0.642
402,Aït-Nouri,12,0.631
634,Mosquera,12,0.6199999999999999
341,Darlow,12,0.619
511,Morato,12,0.608
499,Isak,12,0.6067499999999999
426,McAtee,12,0.6010000000000001
728,Röhl,12,0.569
376,Gomez,12,0.555
447,Heaven,12,0.5429999999999999
527,Awoniyi,12,0.54
406,Khusanov,12,0.5389999999999999
321,J.Cuenca,12,0.531
666,Gyökeres,12,0.5287499999999999
144,Coppola,12,0.497
24,Nørgaard,12,0.49000000000000005
197,Sonne,12,0.484
391,Gannon-Doak,12,0.48100000000000004
732,Uche,12,0.434
250,Delap,12,0.417
344,Bijol,12,0.406
157,Mitoma,12,0.393
162,Gruda,12,0.3835
40,Mings,12,0.37799999999999995
628,José Sá,12,0.3730000000000001
727,Chukwueze,12,0.36500000000000005
351,Gnonto,12,0.36500000000000005
525,Wood,12,0.35800000000000004
519,Dominguez,12,0.314
300,McNeil,12,0.311
679,Hermansen,12,0.307
707,Dibling,12,0.301
421,Rodrigo,12,0.29075
516,Hudson-Odoi,12,0.29
19,Martinelli,12,0.263
170,Milner,12,0.24874999999999997
706,Justin,12,0.225
719,Lindelöf,12,0.223
320,Diop,12,0.213
678,Masuaku,12,0.19599999999999998
480,Lascelles,12,0.19
618,G.Rodriguez,12,0.179
725,Hincapie,12,0.168
619,L.Guilherme,12,0.16
609,Todibo,12,0.134
243,George,12,0.10800000000000001
700,Dowman,12,0.09800000000000002
27,Nelson,12,0.098
152,Veltman,12,0.08775
510,Jair Cunha,12,0.041999999999999996
672,Hato,12,0.022
98,Enes Ünal,12,0.019
294,Coleman,12,0.014000000000000002
269,Esse,12,0.007000000000000001
168,Buonanotte,12,0.006
182,Trafford,12,0.004
80,Soler,12,0.003
259,Sosa,12,0.003
263,Clyne,12,0.003
626,Marshall,12,0.003
221,Jörgensen,12,0.002
218,Barnes,12,0.001
12,Zinchenko,12,0.0
