player_id,player_name,predicted_points,predicted_minutes,predicted_goals_scored,predicted_assists,predicted_yellow_cards,predicted_bonus,predicted_saves,predicted_clean_sheet,predicted_goals_conceded,actual_points
430,Haaland,7.72397587347887,89.56888858871841,0.8599585420625324,0.2848155156102177,0.0,1.4296951583980873,0.0,0.0,-0.0,13
136,Thiago,5.79695326364921,89.73850028816369,0.7174296078770084,0.0713576158940398,0.1428571428571417,0.8560191273161987,0.0,0.0,-0.0,1
5,Gabriel,5.774800465704566,84.15157727589266,0.1418379685610631,0.0709082308420058,0.0,0.860191273161985,0.0,2.1591472038564063,-0.3082905152062213,9
47,Rogers,5.644786738559771,89.82919908508032,0.4670052398226517,0.2008830022075063,0.2666666666666717,0.6670460251046028,0.0,0.3067321743860634,-0.0,3
691,Calvert-Lewin,5.578706701261347,83.99731323391686,0.5736051131456213,0.0730605487228004,0.0,1.06510460251046,0.0,0.0,-0.0,2
20,Trossard,5.393065113733607,74.36078674687226,0.3560891345655548,0.143424787133396,0.0,0.6425582785415428,0.0,0.5397868009641016,-0.0,4
414,Foden,5.210348824489143,89.38846660903394,0.4338400414579371,0.0710501419110691,0.1428571428571417,0.5663000597728629,0.0,0.4045552745505283,-0.0,12
407,Matheus N.,5.17128362074458,89.89858007348172,0.0720504404905856,0.2865184484389783,0.0714285714285708,0.7851165570830838,0.0,1.6182210982021137,-0.4524834513724945,0
16,Saka,5.170081616801077,82.16615849984609,0.143029884263257,0.4245742667928097,0.0714285714285708,0.7128511655708311,0.0,0.5397868009641016,-0.0,0
329,Wilson,5.1426110433187215,84.05107562550073,0.288840905164968,0.3620387890255439,0.2857142857142834,0.6451165570830844,0.0,0.2528878790484495,-0.0,1
225,James,5.117314034664545,89.07344931921331,0.1431508032475375,0.3543046357615892,0.1428571428571417,0.5000000000000007,0.0,1.3730004163120322,-0.5346479655603389,1
488,Bruno G.,4.95765029729797,88.83009281271767,0.2870962169632059,0.143093661305582,0.0714285714285708,0.8528631201434548,0.0,0.3114536798503104,-0.0,2
624,Bowen,4.942966800659599,90.0,0.4017573559048758,0.1332008830022081,0.1333333333333358,1.0696680613668068,0.0,0.0,-0.0,2
670,Roefs,4.825068074548361,90.0,0.0,0.0,0.0714285714285708,0.3597848176927679,4.444444444444427,1.5343304717853297,-0.4791001249826413,10
64,Watkins,4.752658625995927,77.62834846192638,0.4708424022571534,0.1350331125827821,0.0666666666666679,0.5308563458856345,0.0,0.0,-0.0,2
1,Raya,4.731617796440584,90.0,0.0,0.0,0.0,0.0712372982665865,2.4285714285714373,2.1591472038564063,-0.3082905152062213,6
260,Guéhi,4.728161325610964,89.89251674951373,0.1421661772326818,0.2857852412488174,0.2142857142857145,0.4298983861326995,0.0,1.3465647042828714,-0.544368837661436,6
661,Ekitiké,4.706788977520646,77.88146213049006,0.4252547935740195,0.0719252601702933,0.0,0.7899940227136881,0.0,0.0,-0.0,2
236,Neto,4.700225166248088,83.4855216963235,0.2858006564173431,0.2139782403027431,0.1428571428571417,0.4288942020322774,0.0,0.343250104078008,-0.0,2
266,Eze,4.611729878954044,65.91678643469493,0.2855760925893937,0.0718543046357617,0.0,0.4284997011356882,0.0,0.5397868009641016,-0.0,6
120,Schade,4.608059272441712,88.12754832745004,0.3559509414406634,0.1453169347209078,0.2142857142857145,0.3590794979079498,0.0,0.2475599774534355,-0.0,7
178,Welbeck,4.530260378879484,73.9213825853085,0.5318984280532049,0.0,0.1333333333333358,0.5360000000000003,0.0,0.0,-0.0,2
660,Stach,4.494925424760441,89.6624217864838,0.2157885645189152,0.2858798486281929,0.0714285714285708,0.4278302450687389,0.0,0.2019413826411183,-0.0,1
22,Merino,4.480974022459629,76.13333525442454,0.2163067887372604,0.2157521286660355,0.0714285714285708,0.2838254632396893,0.0,0.5397868009641016,-0.0,3
237,Enzo,4.408342352387703,89.17197356098264,0.2864052513387456,0.0703405865657522,0.1428571428571417,0.5649013747758522,0.0,0.343250104078008,-0.0,4
283,Mateta,4.362864992110997,86.79803520399585,0.5008118846087404,0.0,0.0714285714285708,0.4310460251046061,0.0,0.0,-0.0,2
714,Woltemade,4.360052163941389,81.02874261307704,0.3565900846432884,0.1434720908230838,0.0,0.5032755528989841,0.0,0.0,-0.0,9
36,Cash,4.356749156192889,89.59808558897817,0.1995002015316408,0.1318101545253869,0.2666666666666717,0.3949456066945583,0.0,1.2269286975442537,-0.5908901541452576,5
228,Gusto,4.333088514840306,73.61366073202305,0.1420625323890126,0.070151371807001,0.0714285714285708,0.5033353257621043,0.0,1.3730004163120322,-0.5346479655603389,0
160,Minteh,4.329284308610731,88.06489337943962,0.0659250302297465,0.4713245033112582,0.0,0.3327977684797746,0.0,0.2528878790484495,-0.0,6
226,Chalobah,4.276322475228279,89.98395108421582,0.1441872516842277,0.0723036896877957,0.1428571428571417,0.498792588164973,0.0,1.3730004163120322,-0.5346479655603389,3
295,Keane,4.240132304398487,89.74130105900151,0.1426153048885809,0.0,0.0,0.5719665271966525,0.0,1.3540653935029,-0.541591445632551,6
403,Gvardiol,4.226418955994557,86.0628414739572,0.1412506477802721,0.0709555345316935,0.1428571428571417,0.1431679617453675,0.0,1.6182210982021137,-0.4524834513724945,6
694,Mukiele,4.202195198973954,90.0,0.0728450509587148,0.1422421948912012,0.1428571428571417,0.4260251046025143,0.0,1.5343304717853297,-0.4791001249826413,10
8,J.Timber,4.199626792718303,87.60445777201456,0.0,0.1400662251655625,0.0714285714285708,0.0,0.0,2.1591472038564063,-0.3082905152062213,8
21,Rice,4.184828166952155,89.45322575222724,0.0,0.3568826868495741,0.0714285714285708,0.6458218768679018,0.0,0.5397868009641016,-0.0,1
390,Gravenberch,4.157779148016517,89.63383725956344,0.1438935912938322,0.214238410596026,0.1428571428571417,0.6419127316198447,0.0,0.2965403709965754,-0.0,3
408,Rúben,4.099985285729243,89.7290207838052,0.1436517533252712,0.0,0.0714285714285708,0.1437656903765681,0.0,1.6182210982021137,-0.4524834513724945,6
82,Semenyo,4.089189384628512,89.81397233628701,0.2840386940749697,0.1433774834437082,0.2857142857142834,0.3590077704722062,0.0,0.1655699791646161,-0.0,13
597,Richarlison,4.079910238129786,72.3999832504863,0.3595957851096901,0.142951750236518,0.2142857142857145,0.426957561267185,0.0,0.0,-0.0,1
457,Casemiro,4.046940668037566,72.72935373292032,0.2143893591293833,0.212369914853358,0.2142857142857145,0.3551225343693963,0.0,0.1970473077468933,-0.0,1
418,Doku,3.9864015305252223,64.89269913310758,0.0721713594748661,0.2883632923368015,0.0,0.3558995815899588,0.0,0.4045552745505283,-0.0,10
485,Gordon,3.980778082246961,67.75321614677134,0.1441181551217817,0.2199385052034057,0.0,0.2889181111775255,0.0,0.3114536798503104,-0.0,0
32,Martinez,3.947897213784868,89.63139183055975,0.0,0.0,0.0,0.200747559274756,3.3333333333333486,1.2269286975442537,-0.5908901541452576,6
253,Henderson,3.923083493638771,90.0,0.0,0.0,0.1428571428571417,0.1387447698744762,3.375,1.3465647042828714,-0.544368837661436,6
427,Reijnders,3.906730561428514,76.51480452897246,0.2150112281913974,0.0712393566698203,0.0714285714285708,0.2848296473401077,0.0,0.4045552745505283,-0.0,3
411,O'Reilly,3.870423542413155,84.02469016401314,0.0,0.210998107852412,0.0714285714285708,0.1431201434548706,0.0,1.6182210982021137,-0.4524834513724945,6
725,Hincapie,3.8510001435216736,85.86515470787408,0.0,0.0,0.1428571428571417,0.1430005977286303,0.0,2.1591472038564063,-0.3082905152062213,0
6,Saliba,3.850856688650185,83.1119300362606,0.0,0.0,0.0,0.0,0.0,2.1591472038564063,-0.3082905152062213,0
84,Tavernier,3.815687781944475,89.5968909540619,0.2168595612368284,0.1410832544938501,0.2142857142857145,0.3568559473998812,0.0,0.1655699791646161,-0.0,2
565,Vicario,3.7792125319836023,90.0,0.0,0.0,0.0714285714285708,0.0707471607890013,3.0929449838187653,1.3078624271633323,-0.5589501458130816,8
350,Aaronson,3.7735985821957727,74.43634464375768,0.0721713594748661,0.3562440870387887,0.0714285714285708,0.2134967124925283,0.0,0.2019413826411183,-0.0,5
515,Gibbs-White,3.753449000577748,86.28221832000574,0.2669246271664662,0.0,0.0,0.2632859135285899,0.0,0.1555399512168265,-0.0,2
575,Van de Ven,3.7434201454208407,89.86409120380377,0.1424080152012438,0.0,0.2857142857142834,0.4257740585774096,0.0,1.3078624271633323,-0.5589501458130816,14
337,Raúl,3.729831800540744,85.50129637634177,0.2870271204007598,0.1453642384105956,0.2142857142857145,0.3599163179916315,0.0,0.0,-0.0,1
287,Pickford,3.704396641634051,90.0,0.0,0.0,0.0,0.3585893604303647,1.600000000000009,1.3540653935029,-0.541591445632551,6
683,Alderete,3.704138238049325,89.29441322671276,0.0722059077560891,0.0,0.0714285714285708,0.2871010161386733,0.0,1.5343304717853297,-0.4791001249826413,9
450,Cunha,3.693918152196386,87.64193327810194,0.21331836241147,0.07038789025544,0.0714285714285708,0.2905439330543933,0.0,0.1970473077468933,-0.0,0
612,L.Paquetá,3.649862300481729,84.86099176332155,0.1991293833131805,0.1296247240618108,0.2666666666666717,0.3997322175732197,0.0,0.1322756608238456,-0.0,2
469,Pope,3.638752869525892,84.76092170898517,0.0,0.0,0.0714285714285708,0.0,3.142857142857133,1.245814719401242,-0.5832523260658242,8
417,Cherki,3.626340702565311,59.7975561100523,0.0707548799447227,0.4314569536423838,0.0714285714285708,0.6450687387925881,0.0,0.4045552745505283,-0.0,0
547,E.Le Fée,3.6049116459011104,84.32656370818634,0.1444636379340119,0.1434957426679276,0.2857142857142834,0.3542378959952185,0.0,0.3835826179463324,-0.0,0
387,Szoboszlai,3.59847902206018,89.35855197752322,0.1451373294178604,0.0730842005676443,0.2142857142857145,0.571285116557083,0.0,0.2965403709965754,-0.0,3
569,Romero,3.5982541510483013,88.14079671253273,0.1416825012955606,0.0,0.3571428571428562,0.356389719067543,0.0,1.3078624271633323,-0.5589501458130816,12
382,Wirtz,3.583006753785739,76.80793245290593,0.0724995681464847,0.142502365184484,0.0714285714285708,0.5678900179318586,0.0,0.2965403709965754,-0.0,3
314,Leno,3.5688159137973985,90.0,0.0,0.0,0.2142857142857145,0.0700657501494317,4.166666666666671,1.011551516193798,-0.687404527149007,8
303,Garner,3.5504397054181105,89.88286938981342,0.0714458455691829,0.2131267738883628,0.1428571428571417,0.3581709503885241,0.0,0.338516348375725,-0.0,5
673,J.Palhinha,3.5445139147323017,78.86102057968928,0.069839350492313,0.2166272469252597,0.2142857142857145,0.4327555289898386,0.0,0.3269656067908331,-0.0,3
470,Dúbravka,3.5381407498981967,90.0,0.0,0.0,0.0,0.3300641562064134,5.2222222222221895,0.5035345290608534,-1.0361986761097994,3
684,Thiaw,3.5100981974249805,89.82726172465962,0.1412679219208845,0.0,0.1428571428571417,0.1427854154213978,0.0,1.245814719401242,-0.5832523260658242,0
50,Buendía,3.508364656151195,42.103278822371145,0.2675050382910128,0.1320971302428262,0.0,0.4678158995815885,0.0,0.3067321743860634,-0.0,2
249,João Pedro,3.5061938129665924,85.39123687163404,0.287510796337882,0.0,0.1428571428571417,0.4990077704722061,0.0,0.0,-0.0,7
693,Hutchinson,3.490992537560398,60.406562807674746,0.0672309552599762,0.2659602649006627,0.0,0.2014170153417016,0.0,0.1555399512168265,-0.0,0
582,Kudus,3.4787996713788867,87.16562201330355,0.0729486958023838,0.2149716177861869,0.0714285714285708,0.2136043036461448,0.0,0.3269656067908331,-0.0,3
440,Dalot,3.4703193601593627,88.35923732680163,0.0726032129901537,0.2826158940397351,0.1428571428571417,0.3536760310818893,0.0,0.7881892309875733,-0.8121557191130861,0
121,Damsgaard,3.459507008717734,71.21617384674494,0.0718776990844705,0.2118968779564801,0.0,0.2168679019725047,0.0,0.2475599774534355,-0.0,0
384,Gakpo,3.440515788533668,78.93768076267311,0.1429262394195878,0.0719252601702933,0.0,0.2135684399282725,0.0,0.2965403709965754,-0.0,3
258,Mitchell,3.432541342205992,89.95578344499677,0.0699948177578165,0.0,0.0714285714285708,0.2818051404662285,0.0,1.3465647042828714,-0.544368837661436,6
220,Sánchez,3.4125425284564166,88.76664253295871,0.0,0.0,0.1428571428571417,0.2170472205618649,1.5,1.3730004163120322,-0.5346479655603389,2
