player_id,player_name,round,predicted_points,actual_points
733,Lammens,14,1.757,2
157,Mitoma,14,1.741,0
41,Pau,14,1.7280000000000002,-1
101,Kelleher,14,1.6949999999999998,2
416,Bernardo,14,1.6920000000000002,2
606,Mavropanos,14,1.69,4
53,Malen,14,1.677,6
455,Mount,14,1.6740000000000002,1
158,Georginio,14,1.655,0
148,F.Kadıoğlu,14,1.642,1
636,S.Bueno,14,1.6369999999999998,0
613,Souček,14,1.634,2
424,Bobb,14,1.623,0
444,Yoro,14,1.6170000000000002,1
419,Grealish,14,1.602,11
475,Botman,14,1.602,0
162,Gruda,14,1.5970000000000002,2
671,Wilson,14,1.59,2
293,O'Brien,14,1.5829999999999995,6
665,Perri,14,1.579,2
661,Ekitiké,14,1.573,1
615,Summerville,14,1.57,0
414,Foden,14,1.5619999999999998,17
347,Gudmundsson,14,1.56,4
631,Agbadou,14,1.515,2
663,J.Arias,14,1.501,2
270,Hughes,14,1.4819999999999998,1
442,Maguire,14,1.465,0
588,Odobert,14,1.45,1
573,Spence,14,1.441,0
207,Hannibal,14,1.441,1
139,Verbruggen,14,1.4360000000000002,1
584,Tel,14,1.432,4
187,Walker,14,1.423,2
544,Diarra,14,1.414,0
486,Elanga,14,1.411,1
525,Wood,14,1.405,0
441,Dorgu,14,1.404,1
415,Savinho,14,1.402,1
735,Traoré,14,1.3889999999999998,0
466,Zirkzee,14,1.386,2
499,Isak,14,1.382,2
335,King,14,1.3809999999999998,1
40,Mings,14,1.344,0
6,Saliba,14,1.344,0
570,Danso,14,1.344,3
356,Gruev,14,1.3410000000000002,1
73,Smith,14,1.3199999999999998,0
81,Kluivert,14,1.309,2
126,Jensen,14,1.3050000000000002,2
500,Osula,14,1.276,0
623,Potts,14,1.275,2
358,Tanaka,14,1.267,9
311,Beto,14,1.258,1
18,Madueke,14,1.257,3
167,Baleba,14,1.253,4
614,Ward-Prowse,14,1.2479999999999998,0
637,Toti,14,1.237,2
123,Carvalho,14,1.229,0
505,Milenković,14,1.226,6
695,Tchatchoua,14,1.2239999999999998,2
116,Hickey,14,1.209,0
720,Tolu,14,1.202,1
304,Iroegbunam,14,1.2,4
319,Castagne,14,1.198,3
417,Cherki,14,1.196,0
332,Lukić,14,1.193,1
459,Ugarte,14,1.191,1
633,H.Bueno,14,1.19,0
388,C.Jones,14,1.1889999999999998,1
605,Kilman,14,1.1860000000000002,1
233,Acheampong,14,1.178,0
621,Irving,14,1.175,1
625,Füllkrug,14,1.1729999999999998,0
331,Cairney,14,1.1629999999999998,0
209,Laurent,14,1.1629999999999998,0
693,Hutchinson,14,1.153,6
478,Trippier,14,1.15,0
516,Hudson-Odoi,14,1.146,1
561,Mayenda,14,1.138,0
642,Hee Chan,14,1.1190000000000002,1
506,Murillo,14,1.112,0
325,Smith Rowe,14,1.11,7
731,Kevin,14,1.0950000000000002,1
712,Yeremy,14,1.089,3
421,Rodrigo,14,1.082,0
301,Alcaraz,14,1.076,5
19,Martinelli,14,1.075,3
662,Mosquera,14,1.075,1
677,Guessand,14,1.066,8
326,Adama,14,1.065,0
125,Janelt,14,1.062,2
659,Walker-Peters,14,1.061,0
644,Bellegarde,14,1.058,3
508,N.Williams,14,1.0550000000000002,8
77,Hill,14,1.055,0
682,Møller Wolfe,14,1.052,2
292,Mykolenko,14,1.049,5
276,Devenny,14,1.0470000000000002,1
724,Geertruida,14,1.047,1
44,Bogarde,14,1.043,1
431,Bayindir,14,1.043,0
202,Bruun Larsen,14,1.0399999999999998,1
574,Udogie,14,1.035,1
310,Barry,14,1.023,2
170,Milner,14,1.0219999999999998,0
180,Tzimas,14,1.017,1
353,James,14,1.017,0
338,Muniz,14,1.015,0
163,Hinshelwood,14,1.015,8
107,Lewis-Potter,14,1.013,1
55,Barkley,14,1.012,0
526,Igor Jesus,14,1.007,9
385,Chiesa,14,1.001,1
413,Marmoush,14,1.0,0
458,Mainoo,14,0.999,0
726,Kolo Muani,14,0.999,2
239,Gittens,14,0.995,5
405,Aké,14,0.992,1
352,Harrison,14,0.99,0
697,Adli,14,0.989,1
17,Ødegaard,14,0.985,3
128,Onyeka,14,0.976,0
252,Marc Guiu,14,0.965,1
246,Andrey Santos,14,0.963,2
522,Yates,14,0.963,1
696,Kalimuendo,14,0.947,0
716,Savona,14,0.944,6
372,Robertson,14,0.942,2
10,Lewis-Skelly,14,0.942,0
376,Gomez,14,0.935,5
410,Lewis,14,0.934,0
610,Wan-Bissaka,14,0.934,3
680,Broja,14,0.933,1
543,Adingra,14,0.932,0
438,Mazraoui,14,0.932,3
52,J.Ramsey,14,0.923,0
232,Tosin,14,0.917,3
409,Stones,14,0.903,0
250,Delap,14,0.903,2
145,De Cuyper,14,0.901,0
272,Lerma,14,0.898,5
511,Morato,14,0.8950000000000001,7
230,Fofana,14,0.889,0
25,Nwaneri,14,0.8879999999999999,0
456,Sancho,14,0.882,0
362,Piroe,14,0.8800000000000001,1
551,Rigg,14,0.8779999999999999,0
686,Ngumoha,14,0.8539999999999999,0
619,L.Guilherme,14,0.8539999999999999,0
426,McAtee,14,0.8310000000000001,0
284,Nketiah,14,0.8299999999999998,1
635,R.Gomes,14,0.827,0
494,Willock,14,0.8139999999999998,0
727,Chukwueze,14,0.8130000000000001,12
392,Endo,14,0.8099999999999999,0
638,Hoever,14,0.8059999999999998,1
109,Henry,14,0.8,2
235,Palmer,14,0.7910000000000001,1
645,Fer López,14,0.7909999999999999,0
707,Dibling,14,0.788,0
98,Enes Ünal,14,0.76,0
39,Maatsen,14,0.746,1
634,Mosquera,14,0.7449999999999999,1
181,Kostoulas,14,0.74,1
734,Bakwa,14,0.738,0
713,A.Jimenez,14,0.732,4
152,Veltman,14,0.729,1
391,Gannon-Doak,14,0.713,0
199,Worrall,14,0.704,0
402,Aït-Nouri,14,0.6989999999999998,0
351,Gnonto,14,0.6970000000000001,0
718,S.Magassa,14,0.697,11
300,McNeil,14,0.687,1
344,Bijol,14,0.6839999999999999,12
375,Bradley,14,0.639,0
149,Igor,14,0.631,0
389,Elliott,14,0.622,0
341,Darlow,14,0.613,0
321,J.Cuenca,14,0.589,0
728,Röhl,14,0.561,0
527,Awoniyi,14,0.557,0
367,Mamardashvili,14,0.551,0
198,Tuanzebe,14,0.5359999999999999,0
370,Frimpong,14,0.525,0
144,Coppola,14,0.517,0
447,Heaven,14,0.513,0
732,Uche,14,0.486,0
197,Sonne,14,0.481,0
725,Hincapie,14,0.466,8
406,Khusanov,14,0.4189999999999999,0
609,Todibo,14,0.4049999999999999,4
294,Coleman,14,0.3969999999999999,0
320,Diop,14,0.36,0
24,Nørgaard,14,0.34,0
719,Lindelöf,14,0.333,0
699,Douglas Luiz,14,0.331,0
519,Dominguez,14,0.322,1
628,José Sá,14,0.306,0
507,Aina,14,0.299,0
316,Robinson,14,0.279,0
679,Hermansen,14,0.265,0
632,Doherty,14,0.2259999999999999,0
591,Gray,14,0.217,1
706,Justin,14,0.216,1
27,Nelson,14,0.188,0
678,Masuaku,14,0.184,0
618,G.Rodriguez,14,0.18,0
244,Lavia,14,0.1689999999999999,0
749,Mané,14,0.1629999999999999,1
700,Dowman,14,0.112,0
243,George,14,0.094,0
596,Solanke,14,0.086,0
88,Cook,14,0.083,0
672,Hato,14,0.036,0
656,Kalajdžić,14,0.015,0
285,Édouard,14,0.012,0
12,Zinchenko,14,0.012,0
737,Kusi-Asare,14,0.012,1
259,Sosa,14,0.007,0
269,Esse,14,0.007,0
221,Jörgensen,14,0.006,0
218,Barnes,14,0.005,0
182,Trafford,14,0.004,0
263,Clyne,14,0.002,0
545,Roberts,14,0.002,0
702,Burrowes,14,0.001,0
626,Marshall,14,0.001,0
168,Buonanotte,14,0.001,0
542,Seelt,14,0.001,0
80,Soler,14,0.001,1
690,Cardines,14,0.0,0
234,Anselmino,14,0.0,0
723,Canvot,14,0.0,1
231,M.Sarr,14,0.0,0
536,Hjelde,14,0.0,0
535,Cirkin,14,0.0,0
534,Anderson,14,0.0,0
530,Nna Noukeu,14,0.0,0
529,Moore,14,0.0,0
528,Patterson,14,0.0,0
204,Churlinov,14,0.0,0
203,Boateng,14,0.0,0
201,Benson,14,0.0,0
196,Sambo,14,0.0,0
533,Alese,14,0.0,0
185,Hladký,14,0.0,0
184,Green,14,0.0,0
183,Weiss,14,0.0,0
754,George Hemmings,14,0.0,0
710,Patterson,14,0.0,0
703,Proctor,14,0.0,0
558,Matete,14,0.0,0
557,H.Jones,14,0.0,0
556,Ekwah,14,0.0,0
290,Branthwaite,14,0.0,0
554,Ba,14,0.0,0
550,Poveda,14,0.0,0
549,Neil,14,0.0,0
548,Mundle,14,0.0,0
546,Aleksić,14,0.0,0
240,Nkunku,14,0.0,0
195,Lucas Pires,14,0.0,0
289,Tyrer,14,0.0,0
288,Travers,14,0.0,0
